Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
Foliage projective cover 2011 - Sunshine Coast,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B91F3A20-5881-4ED8-99BD-B8977E115D88},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Tambo,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={65B78FDF-9913-47F9-BC34-34A30273D0DE},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Thargomindah,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1DBCC69D-D2CA-4CF5-98D2-065126CCEF56},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Thursday Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={54F310AC-C6F9-4392-8017-590F48B3E27D},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Townsville,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={95AF0B2A-C71E-401A-B0E9-5164DE8BB975},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Urandangie,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DAA001A7-ABD9-4B1A-AB24-C8B3055B0E73},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Warwick,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={61A394F7-606B-4AFC-9729-AA0C0F52D780},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Weipa,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={15D20A69-0FA9-444A-B6F4-14BF493D155A},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Whitsunday,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={73743338-285E-46F8-9A95-645C6EAE90D4},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Windorah,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D003835F-15E4-45CC-9D46-8DF8FAC6D66C},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Winton,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={99095D23-EB73-4AB8-A926-C68A4CADDF33},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Wolverton,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AF54112E-C917-43A1-AD1A-2C3D5D5508C4},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - Yeppoon,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D80325D5-9B3B-4A20-B044-FEA82E6BC6A3},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 - York Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={755FD3EE-F275-4987-A230-CC30BB26CF15},16/01/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2011 series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={028FC65D-FDC9-4DBB-ACCE-B669EE503190},21/03/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Generalised distribution and densities of Queensland wildlife,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={464B7C09-03AB-4D2A-B3B2-EF98620DDB65},25/05/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,MACROFAUNA,OFFICIAL,Noleen Brown,Department of Environment and Science,completed
Groundwater dependent ecosystems and potential aquifer mapping - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2DF30B15-FA92-47EC-BD2F-5FF1F311DC69},28/05/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,GROUND WATER,OFFICIAL,Katherine Glanville,Department of Environment and Science,completed
Gully Presence Map 5km 2012 Burdekin Catchment,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1D47A676-8092-4147-A9CD-51833C3CCE05},19/09/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,GULLY,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Habitat suitability model - Boronia keysii,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2284FC47-4340-47DA-A9B8-7B2CBDA0395E},1/01/2017,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Calyptorhynchus lathami,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4AD7B539-64D2-47A5-92E5-9B5A9C9722F4},1/01/2017,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Casuarius casuarius johnsonii,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BE0AF7A6-B1C3-42AF-885B-3BF3C676056B},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat Suitability Model - Crinia tinnula,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={408190E2-655D-4AA8-A3D6-D76F63B671D4},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Denisonia maculata,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3951BB1C-44DC-4695-9286-C752CFD204EF},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Litoria cooloolensis,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B2628843-CAAD-4FCE-AED2-4C9F4268700F},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Litoria freycineti,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={088B94EE-A9F0-4EEF-BB8C-E8280283EB62},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Litoria olongburensis,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D742F091-9DA3-4444-B61C-C4368361ED65},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Litoria sp cf cooloolensis - Stradbroke Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D410407D-58B7-4AAB-A5C6-B988AB23C841},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Melaleuca irbyana,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C68E9C32-2C37-461F-B462-A702B5DA4971},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Petaurus gracilis,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E3A1B50F-3F88-4E3D-8E3A-5FACC51ADEA6},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Petrogale persephone,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={57746BA0-8F4F-4F28-8A52-CBA49BA7988B},1/03/2017,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Pezoporus wallicus,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={77D96816-209B-4956-A080-2F311981D450},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Taudactylus pleione,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={095F8992-247C-4FC7-8355-26116FBB3442},1/03/2017,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability model - Xeromys myoides,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0BD138E0-D5C3-4823-BC59-83F043A4A99C},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Habitat suitability models series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={40CB57EF-075E-49DD-A99F-84F07D3EDCD5},16/05/2014,Department of Environment and Science,Esri File Geodatabase,Model,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Herbarium specimen data - Herbrecs - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={718618D4-0AA3-4845-9E14-68C7F14BF338},3/07/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Andrew Franks,Department of Environment and Science,completed
Hydrological connectivity of the pre-clear landscape to the Great Barrier Reef V1.6,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5C4F6187-2637-4CF1-B25B-7FD284D92D07},28/07/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,HYDROLOGIC AND TERRESTRIAL WATER CYCLE MODELS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Land resource area survey of Hermitage Research Station - South East Queensland - CHR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={73DDD9CE-D241-471E-AB1A-C7E6829996E7},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - Central Darling Downs land management manual - MCD,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5C46FA46-0DAB-46D9-965E-E51D4656107F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - Central Highlands - CHL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F8BCA9E2-C2B0-4E6E-B8E6-9FFAE64A7A58},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - Crows Nest district land management field manual - ATG,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7AF4BB77-837C-4398-98C8-CC4AFC1D9C08},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - evaluation of agricultural land in the Taroom Shire - TAR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3E474D33-4A73-4F2D-A11D-4F46F240F329},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - land degradation in the Lockyer Catchment - LDL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={609BD414-6A27-4FE8-89A9-F3E304864425},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - land management manual Waggamba Shire southern Queensland - WLM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0E62C0E1-2CB3-4394-AE95-B1598FD3B971},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - Roma district land management field manual - ATR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B7393BDA-B354-4266-87F8-CAA73F58C839},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - soil survey of the Sandstone Walloons - AGW,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5857441A-4EA4-4D32-8385-4548551B4BB2},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Land resource areas - soils in the Murilla, Tara and Chinchilla Shires - MWD",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8A0DD485-2D93-4FB6-8E79-06212398DE3A},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - soils of Lakeland Downs - LAK,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={07E3B371-AD17-458D-92BD-7295D0FDC3DD},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - understanding and managing soils in the Moreton Region - MFM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={275DA1C3-C662-4C17-BA81-458A7FA32321},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land resource areas - understanding and managing soils in the Stanthorpe-Rosenthal Region - SRM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E023FA82-15CC-48D3-8359-5E4320CAE65A},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Land Resources of Fernvale Esk and Avoca Vale - South East Queensland - SEQE,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={08834EA7-FF40-4C22-85AF-E13F8D579127},5/10/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
